subject,elec,area,area2,x1,x2,x3,type,,,,,
S1,EEGG_14REF,right,STG,71,-24,6,G,,,,,
S1,EEGG_16REF,right,STG,67.5,-41.5,17.5,G,,,,,
S1,EEGG_20REF,right,STG,67,-4,1,G,,,,,
S1,EEGG_21REF,right,STG,67,-12,8,G,,,,,
S1,EEGG_22REF,right,STG,69,-20,12,G,,,,,"x1,x2,x3 are the coordinates. "
S1,EEGG_23REF,right,STG,67.333333,-28,19.333333,G,,,,,Electrode Type
S1,EEGG_26REF,right,STG,59.142857,15.142857,-2.857143,G,,,,,"G= Grid, D= Depth , S=Surface"
S1,EEGG_27REF,right,STG,63,8,2,G,,,,,
S1,EEGG_28REF,right,STG,66,1,9,G,,,,,
S1,EEGG_41REF,right,IFG,56,36,9,G,,,,,
S1,EEGG_49REF,right,IFG,52,41,18,G,,,,,
S1,EEGG_55REF,right,,55,-3,50,G,,,,,
S1,EEGG_62REF,right,,47.333333,11.333333,52,G,,,,,
S1,EEGPT_01REF,right,,28,-14,-36,S,,,,,
S1,EEGMT_04REF,right,,41,-4,-43,S,,,,,
S2,LGA10,IFG,,-59,38,13,G,,,,,
S2,LGA18,IFG,,-63,35,2,G,,,,,
S2,LGA27,IFG,,-63.333333,20,-0.666667,G,,,,,
S2,LGA32,parietal,,-71,-27,22,G,,,,,
S2,LGA36,STG,aSTG,-68,8,-8,G,,,,,
S2,LGA37,STG,aSTG,-69.333333,-0.666667,-3,G,,,,,
S2,LGA38,STG,mSTG,-72,-11.333333,2.666667,G,,,,,
S2,LGA39,STG,cSTG,-72,-22,7,G,,,,,
S2,LGA4,IFG,,-59,22.666667,34.666667,G,,,,,
S2,LGA44,STG,aSTG,-66.666667,4,-17.333333,G,,,,,
S2,LGA46,STG,mSTG,-74,-15,-8,G,,,,,
S2,LGA47,STG,mSTG,-74,-25,-3,G,,,,,
S2,LGA9,IFG,,-57,46,8,G,,,,,
S2,LGB108,IFG,,-65,16,1,G,,,,,
S2,LGB112,STG,aSTG,-68,2.666667,-5.333333,G,,,,,
S2,LGB113,STG,mSTG,-72,-6,0,G,,,,,
S2,LGB114,STG,mSTG,-72.857143,-17.142857,5.142857,G,,,,,
S2,LGB116,STG,aSTG,-66.4,5.2,-12.8,G,,,,,
S2,LGB117,STG,aSTG,-68,1,-10,G,,,,,
S2,LGB119,STG,mSTG,-72,-8.666667,-5.333333,G,,,,,
S2,LGB120,STG,mSTG,-72,-13.333333,-2.666667,G,,,,,
S2,LGB121,STG,mSTG,-73,-19,0,G,,,,,
S2,LGB122,STG,cSTG,-72,-25,2,G,,,,,
S2,LGB126,STG,mSTG,-74,-20,-5,G,,,,,
S2,LGB66,IFG,,-55,36,26,G,,,,,
S2,LGB71,IFG,,-58,36,21,G,,,,,
S2,LGB74,IFG,,-58,42.666667,11.333333,G,,,,,
S2,LGB75,IFG,,-61,34,15,G,,,,,
S2,LGB78,IFG,,-60,41,5,G,,,,,
S2,LGB79,IFG,,-61.333333,37.333333,7,G,,,,,
S2,LGB80,IFG,,-63,32,11,G,,,,,
S2,LGB82,IFG,,-66,23,15,G,,,,,
S2,LGB85,precentral,,-68,9,23,G,,,,,
S2,LGB86,IFG,,-61,40,0,G,,,,,
S2,LGB87,IFG,,-64,30,5,G,,,,,
S2,LGB88,IFG,,-66,20,10,G,,,,,
S2,LGB95,IFG,,-63,27,-1,G,,,,,
S2,LOF4,other,,-39.333333,36.666667,-22,S,,,,,
S2,RO7,other,,60.541023,-32.804218,1.324002,S,,,,,
S2,RPT1,other,,17.268787,7.802229,-30.84676,S,,,,,
S2,RPT2,other,,30.105927,3.705525,-33.930771,S,,,,,
S2,RPT3,other,,41.714851,0.328702,-31.114326,S,,,,,
S2,RPT4,other,,50.826962,-3.9146,-27.438894,S,,,,,
S3,LSF12,other,,-34,-68,64,S,,,,,
S3,LST10,AG,,-55.142857,-70.857143,29.142857,S,,,,,
S3,LPT2,pmtg,,-68,-50,-13,S,,,,,
S3,LPT1,pmtg,,-71,-42,-16,S,,,,,
S3,LIF3,IFG,,-60,20.666667,34.666667,S,,,,,
S3,LST1,IFG,,-66,18,17,S,,,,,
S3,LST2,precentral,,-68,9,18,S,,,,,
S3,RIF4,right,,53.333333,8.666667,52,S,,,,,
S3,RIF12,right,,48,-72.666667,38.666667,S,,,,,
S3,RST4,right,,68.8,-18.4,12.8,S,,,,,
S3,RST5,right,,70,-27.333333,17.333333,S,,,,,
S3,LDII7,right,,-43.333333,-17.333333,2,D,,,,,
S3,LDII8,right,,-43.333333,-23,3.333333,D,,,,,
S3,LDII9,right,,-43.2,-29.2,3.6,D,,,,,
S3,LDSI9,right,,-44,-13,8,D,,,,,
S3,LDSI10,right,,-42.666667,-17.333333,10,D,,,,,
S3,RDS11,right,,36.666667,-25.333333,8,D,,,,,
S3,LST7,AG,,-68,-44,25,S,,,,,
S3,LST8,AG,,-65.2,-54.8,25.6,S,,,,,
S4,GA48,STG,cSTG,-72,-32,28,G,,,,,
S4,GA64,STG,cSTG,-71.142857,-42.857143,10.857143,G,,,,,
S4,GA44,STG,aSTG,-69.333333,4,-1.333333,G,,,,,
S4,GA45,STG,mSTG,-71,-6,6,G,,,,,
S4,GA47,parietal,,-72,-22,21,G,,,,,
S4,GA14,premotor,,-56,11,46,G,,,,,
S4,GA23,precentral,,-63,-4,45,G,,,,,
S4,GA41,TP,,-55,25,-22,G,,,,,
S5,dMF5,right,0,-49,25,10,D,,,,,
S5,dPI5,right,0,-49.333333,-21,4.666667,D,,,,,
S5,G101,STG,mSTG,-72,-9.333333,10.666667,G,,,,,
S5,G102,STG,mSTG,-73,-12.666667,6.666667,G,,,,,
S5,G103,STG,mSTG,-73.333333,-15,1.333333,G,,,,,
S5,G104,STG,mSTG,-74,-18.666667,-3.333333,G,,,,,
S5,G108,precentral,,-68,8,25,G,,,,,
S5,G110,STG,mSTG,-71.333333,-4.666667,7,G,,,,,
S5,G111,STG,mSTG,-73,-11.333333,-2.666667,G,,,,,
S5,G113,STG,aSTG,-70,4,1,G,,,,,
S5,G117,IFG,,-66,14.666667,6.666667,G,,,,,
S5,G118,IFG,,-67.5,11.5,0.5,G,,,,,
S5,G119,STG,aSTG,-68,8,-3,G,,,,,
S5,G120,STG,aSTG,-68.5,4.5,-7.5,G,,,,,
S5,G121,STG,aSTG,-69,3,-12,G,,,,,
S5,G124,IFG,,-65,20,2,G,,,,,
S5,G125,STG,aSTG,-65,13.333333,-6.666667,G,,,,,
S5,G128,IFG,,-64,24.666667,-0.666667,G,,,,,
S5,G15,STG,cSTG,-74,-33,7,G,,,,,
S5,G22,STG,mSTG,-73,-17,10,G,,,,,
S5,G23,STG,cSTG,-74,-23,0,G,,,,,
S5,G24,aMTG,,-74,-31,-8,G,,,,,
S5,G30,STG,mSTG,-71.5,-7,3.5,G,,,,,
S5,G31,STG,mSTG,-73.2,-14.8,-5.6,G,,,,,
S5,G34,IFG,,-60,25.333333,31.333333,G,,,,,
S5,G35,IFG,,-66,20,23,G,,,,,
S5,G37,STG,aSTG,-70,7,4,G,,,,,
S5,G42,IFG,,-59,34,25,G,,,,,
S5,G43,IFG,,-64.857143,28.857143,14.857143,G,,,,,
S5,G44,IFG,,-66,23,7,G,,,,,
S5,G45,IFG,,-64,16,-1,G,,,,,
S5,G53,IFG,,-62,25.333333,-7.333333,G,,,,,
S5,G54,TP,,-61,20,-17,G,,,,,
S5,G55,TP,,-62,13,-27,G,,,,,
S5,G56,TP,,-59,5.333333,-35,G,,,,,
S5,G61,other,,-57,33.333333,-15,G,,,,,
S5,G63,TP,,-54.666667,20,-33.333333,G,,,,,
S5,G64,TP,,-51.333333,13.333333,-42.666667,G,,,,,
S5,G7,STG,cSTG,-70,-42.666667,14.666667,G,,,,,
S5,G75,precentral,,-62,-5.333333,45.333333,G,,,,,
S6,G3,MFG,,-53,19,46,G,,,,,
S6,G11,IFG,,-59,17,38,G,,,,,
S6,G64,pmtg,,-68.666667,-51.333333,4,G,,,,,
S6,G46,STG,cSTG,-72,-25.333333,15.333333,G,,,,,
S6,G47,STG,cSTG,-71.333333,-35.333333,18,G,,,,,
S6,G44,STG,mSTG,-70.666667,-6,5.333333,G,,,,,
S6,G45,STG,mSTG,-72.666667,-16,11.333333,G,,,,,
S6,G52,STG,mSTG,-71.333333,-8.666667,-4,G,,,,,
S6,G53,STG,mSTG,-73.333333,-20,1.333333,G,,,,,
S6,G54,STG,cSTG,-72,-29,4,G,,,,,
S6,G19,IFG,,-63.2,14.8,28.8,G,,,,,
S6,G10,IFG,,-58.4,26.8,33.2,G,,,,,
S7,G25,AG,,-48,-76.666667,36.666667,G,,,,,
S7,G33,AG,,-47,-72,45,G,,,,,
S7,AT1,other,,-5,-36.666667,2.666667,S,,,,,
S7,DPMT7,right,0,-53.090909,-20.181818,-18,D,,,,,
S7,G15,pmtg,,-73.6,-27.2,-5.2,G,,,,,
S7,G31,parietal,,-72,-15.333333,18.666667,G,,,,,
S7,G32,postcg,,-72.666667,-4.666667,14.666667,G,,,,,
S7,G20,AG,,-67.142857,-50.857143,17.142857,G,,,,,
S7,G21,STG,cSTG,-70.5,-40.5,13,G,,,,,
S7,G23,STG,cSTG,-71.333333,-21.333333,7,G,,,,,
S7,G24,STG,mSTG,-72,-10.666667,2.666667,G,,,,,
S7,G34,AG,,-54,-64,45,G,,,,,
S7,DAI3,right,,-46,3.333333,-6.666667,D,,,,,
S7,DAI4,right,,-50.666667,6,-8.666667,D,,,,,
S7,DPI3,right,,-46,-13.333333,-1.333333,D,,,,,
S7,DPMT8,right,,-58,-17.2,-21.6,D,,,,,
S8,AF6,MFG,,-53,46,17,S,,,,,
S8,AIT3,TP,,-42,-5,-47,S,,,,,
S8,DPI2,right,,-45,-14,8,D,,,,,
S8,DPI3,right,,-50,-15,8,D,,,,,
S8,G10,MFG,,-55,40,19,G,,,,,
S8,G12,IFG,,-57,25.333333,33.333333,G,,,,,
S8,G15,premotor,,-57,0,51,G,,,,,
S8,G16,precentral,,-54.666667,-8,55.333333,G,,,,,
S8,G17,IFG,,-58,41,3,G,,,,,
S8,G18,IFG,,-62.666667,34,11.333333,G,,,,,
S8,G19,IFG,,-63.333333,27.333333,18,G,,,,,
S8,G20,IFG,,-64,18.666667,25.333333,G,,,,,
S8,G26,IFG,,-64,26,1,G,,,,,
S8,G27,IFG,,-66,20.666667,9.333333,G,,,,,
S8,G5,MFG,,-49.333333,21,47,G,,,,,
S8,G56,STG,cSTG,-70,-37.333333,17.333333,G,,,,,
S8,G77,IFG,,-56,43,8,G,,,,,
S8,G79,IFG,,-59.5,38,11.5,G,,,,,
S8,G83,IFG,,-62,21,29,G,,,,,
S8,G84,IFG,,-60.8,17.2,32.4,G,,,,,
S8,G86,IFG,,-61.142857,38.857143,6.857143,G,,,,,
S8,G87,IFG,,-62,30,14,G,,,,,
S8,G88,IFG,,-64,22,21,G,,,,,
S8,G92,IFG,,-61,39,-2,G,,,,,
S8,G93,IFG,,-62,34,3,G,,,,,
S8,G94,IFG,,-64,29.333333,5.333333,G,,,,,
S8,G95,IFG,,-65,28,8,G,,,,,
S8,G96,IFG,,-66,24,14,G,,,,,
S8,O4,AG,,-45.333333,-80,33.333333,S,,,,,
S8,O6,AG,,-58,-64,25,S,,,,,
S8,SF2,other,,-22,34,61,S,,,,,
